horizon,model,train_rows,validation_rows,test_rows,validation_mae,validation_rmse,test_mae,test_rmse
5min,Persistence,12920705,2136489,2171910,0.072,0.218,0.070,0.215
5min,LinearRegression,12920705,2136489,2171910,0.099,0.302,0.096,0.297
5min,RandomForest,12920705,2136489,2171910,0.093,0.287,0.090,0.282
5min,XGBoost,12920705,2136489,2171910,0.094,0.289,0.091,0.287
15min,Persistence,12920705,2136489,2171910,0.118,0.372,0.114,0.364
15min,LinearRegression,12920705,2136489,2171910,0.132,0.394,0.129,0.387
15min,RandomForest,12920705,2136489,2171910,0.122,0.371,0.119,0.366
15min,XGBoost,12920705,2136489,2171910,0.123,0.371,0.118,0.365
30min,Persistence,12920705,2136489,2171910,0.156,0.490,0.149,0.477
30min,LinearRegression,12920705,2136489,2171910,0.164,0.471,0.160,0.464
30min,RandomForest,12920705,2136489,2171910,0.147,0.433,0.143,0.429
30min,XGBoost,12920705,2136489,2171910,0.148,0.433,0.143,0.427
