tmc,direction,volatility_30min
110N04167,EASTBOUND,0.17464651878198864
110-04167,EASTBOUND,0.16864564335222107
110N04168,EASTBOUND,0.16366778908788787
110P04166,WESTBOUND,0.1560930087316693
110N04169,EASTBOUND,0.14588560210043644
110N04164,EASTBOUND,0.13236294584967132
110-04168,EASTBOUND,0.12832297663434702
110-04169,EASTBOUND,0.12594975901652922
110-04163,EASTBOUND,0.12454610876418108
110+04169,WESTBOUND,0.12218413633041177
110+04168,WESTBOUND,0.11909583406388308
110P04168,WESTBOUND,0.11902068807162688
110+04167,WESTBOUND,0.11799760980526693
110P04169,WESTBOUND,0.11666041841652912
110+04166,WESTBOUND,0.11301664003810538
110N04170,EASTBOUND,0.10439576963357587
110P04167,WESTBOUND,0.09733703884252293
110-04170,EASTBOUND,0.09274415600368607
110P04165,WESTBOUND,0.08954461496094382
110-04166,EASTBOUND,0.08661289025386038
110N04171,EASTBOUND,0.0852229765577318
110+04170,WESTBOUND,0.08402838246862551
110-04171,EASTBOUND,0.08287679973199633
110-04164,EASTBOUND,0.08030648789371189
110N04172,EASTBOUND,0.07884416373357568
110N04173,EASTBOUND,0.07700956604535167
110+04165,WESTBOUND,0.06823441650072301
110P04164,WESTBOUND,0.06666873525676141
110+04164,WESTBOUND,0.06477337236994134
110P04163,WESTBOUND,0.06465037881702919
110-04172,EASTBOUND,0.05950990147108404
110N04165,EASTBOUND,0.05746119497701729
110P04170,WESTBOUND,0.05522408699286939
110+04171,WESTBOUND,0.054221776495141476
110P04171,WESTBOUND,0.051923960511190616
110+04172,WESTBOUND,0.04830363066686779
110-04165,EASTBOUND,0.04803954180986337
110N04166,EASTBOUND,0.04697665415361049
110P04172,WESTBOUND,0.045899183810690136
110P04173,WESTBOUND,0.04074548456730361
110+04173,WESTBOUND,0.03500842348413786
